op_index,op_type,input_shape,weight_shape,output_shape,input_scale,input_zp,weight_scale,weight_zp,output_scale,output_zp,param_count,macs,injection_candidate
34,CONV_2D,"[1, 44, 44, 16]","[80, 1, 1, 16]","[1, 44, 44, 80]",0.14225490391254425,0,0.004138451535254717,0,0.02316492423415184,-128,1280,2478080,True
35,PAD,"[1, 44, 44, 80]",,"[1, 48, 48, 80]",0.02316492423415184,-128,,,0.02316492423415184,-128,,,False
36,DEPTHWISE_CONV_2D,"[1, 48, 48, 80]","[1, 5, 5, 80]","[1, 22, 22, 80]",0.02316492423415184,-128,0.005571983754634857,0,0.022824440151453018,-128,2000,968000,True
37,PAD,"[1, 22, 22, 80]",,"[1, 22, 22, 80]",0.022824440151453018,-128,,,0.022824440151453018,-128,,,False
38,CONV_2D,"[1, 22, 22, 80]","[24, 1, 1, 80]","[1, 22, 22, 24]",0.022824440151453018,-128,0.008158178068697453,0,0.08175227791070938,0,1920,929280,True
39,PAD,"[1, 22, 22, 24]",,"[1, 22, 22, 24]",0.08175227791070938,0,,,0.08175227791070938,0,,,False
40,CONV_2D,"[1, 22, 22, 24]","[120, 1, 1, 24]","[1, 22, 22, 120]",0.08175227791070938,0,0.00228879414498806,0,0.010126522742211819,-128,2880,1393920,True
41,PAD,"[1, 22, 22, 120]",,"[1, 26, 26, 120]",0.010126522742211819,-128,,,0.010126522742211819,-128,,,False
42,DEPTHWISE_CONV_2D,"[1, 26, 26, 120]","[1, 5, 5, 120]","[1, 22, 22, 120]",0.010126522742211819,-128,0.020100878551602364,0,0.015814688056707382,-128,3000,1452000,True
43,PAD,"[1, 22, 22, 120]",,"[1, 22, 22, 120]",0.015814688056707382,-128,,,0.015814688056707382,-128,,,False
44,CONV_2D,"[1, 22, 22, 120]","[24, 1, 1, 120]","[1, 22, 22, 24]",0.015814688056707382,-128,0.011994436383247375,0,0.03606591001152992,0,2880,1393920,True
45,ADD,"[1, 22, 22, 24]",,"[1, 22, 22, 24]",0.03606591001152992,0,,,0.05693759769201279,0,,,False
46,PAD,"[1, 22, 22, 24]",,"[1, 22, 22, 24]",0.05693759769201279,0,,,0.05693759769201279,0,,,False
